time,sensor_gps_raw/carrier_phase.00_rate
1032.157119,
1033.157219,0.0
1034.162357,0.08924773335456848
1035.159071,0.17849546298384666
1036.160219,0.20342393219470978
1037.159069,0.26184409484267235
1038.160214,0.2945746034383774
1039.159069,0.2532808780670166
1040.158465,0.23805738240480423
1041.158148,0.22911357879638672
1042.155096,0.16764872521162033
1043.155078,0.09819153696298599
1044.156223,0.011798206716775894
1045.155072,-0.01236908882856369
1046.15507,-0.017126433551311493
1047.155156,-0.10390034690499306
1048.15528,-0.19733453914523125
1049.155071,-0.33339451625943184
1050.155102,-0.4243548922240734
1051.157042,-0.5598439872264862
1052.158064,-0.6804901771247387
1053.155073,-0.7292053550481796
1054.154142,-0.7899090349674225
1055.154072,-0.843952439725399
1056.154181,-0.8782053031027317
1057.154067,-0.892857912927866
1058.151839,-0.9463304355740547
1059.155065,-0.9495654292404652
1060.154107,-0.9432857371866703
1061.155065,-0.9134096279740334
1062.155092,-0.879537358880043
1063.155066,-0.8325348198413849
1064.155074,-0.7754467166960239
1065.155072,-0.7120789289474487
1066.155099,-0.6422411426901817
1067.155084,-0.6077979952096939
1068.155072,-0.6156000308692455
1069.155072,-0.6234020739793777
1070.158064,-0.6256855987012386
1071.155076,-0.6648860909044743
1072.155135,-0.7004710137844086
1073.158101,-0.7324403487145901
1074.156184,-0.7541338242590427
1075.159541,-0.6804901771247387
1076.159571,-0.6445246674120426
1077.159072,-0.5988541916012764
1078.159096,-0.5257814191281796
1079.158218,-0.5234978944063187
1080.159435,-0.5777315944433212
1081.159097,-0.6313944049179554
1082.160067,-0.6652666814625263
1083.159073,-0.6439537927508354
1084.159121,-0.6226408965885639
1085.159392,-0.5977124273777008
1086.159068,-0.5552769377827644
1087.159112,-0.48848385736346245
1088.159328,-0.42625783011317253
1089.15507,-0.26241497695446014
1090.155098,-0.08886714652180672
1091.154114,0.17716341093182564
1092.156145,0.43577250838279724
1093.154856,0.6211185455322266
1094.154117,0.7880060970783234
1095.154101,0.8740188367664814
1096.156097,0.941763386130333
1097.15519,1.0258731916546822
1098.158092,1.1035130061209202
1099.154075,1.1722090244293213
1100.15521,1.307127233594656
1101.158067,1.3963749706745148
1102.154073,1.4296763613820076
1103.15619,1.44489985704422
1104.154072,1.4574592374265194
1105.155073,1.5050326585769653
1106.155193,1.5851462930440903
1107.154075,1.720445092767477
1108.155088,1.8173045739531517
1109.154073,1.8922802843153477
1110.156123,1.9796250723302364
1111.158117,2.0220605693757534
1112.155193,2.11416270211339
1113.155089,2.238234180957079
1114.154081,2.3573580160737038
1115.155887,2.5242455676198006
1116.154125,2.7179645262658596
1117.158074,2.8180590011179447
1118.158141,2.9828533194959164
1119.158066,3.161919664591551
1120.155075,3.3801865093410015
1121.158305,3.59483777359128
1122.155827,3.8146269619464874
1123.158064,4.019953835755587
1124.154261,4.248877126723528
1125.154075,4.477610118687153
1126.154589,4.703298415988684
1127.155069,4.879320062696934
1128.154072,5.1249891966581345
1129.154082,5.300630252808332
1130.155304,5.505195952951908
1131.154944,5.681788481771946
1132.155381,5.883690066635609
1133.154073,6.080644018948078
1134.15407,6.272079456597567
1135.154093,6.476835444569588
1136.155446,6.571791987866163
1137.154065,6.694911994040012
1138.154095,6.797289993613958
1139.154065,6.925547923892736
1140.152957,7.042768832296133
1141.157119,7.149333283305168
1142.154076,7.1944328881800175
1143.154066,7.190436717122793
1144.154117,7.196716409176588
1145.154074,7.19804846867919
1146.154367,7.174452051520348
1147.1541,7.161702372133732
1148.15507,7.155803270637989
1149.154099,7.1552323922514915
1150.154077,7.084443140774965
1151.154083,7.04429117962718
1152.154071,7.035347376018763
1153.154121,7.083111088722944
1154.154072,7.193862002342939
1155.154103,7.173119995743036
1156.155071,7.147620644420385
1157.154074,7.11165513843298
1158.15507,7.181683208793402
1159.154074,7.2707406505942345
1160.154681,7.317933477461338
