time,sensor_gps_raw/carrier_phase.00_rate,sensor_gps_raw/carrier_phase.01_rate,sensor_gps_raw/carrier_phase.02_rate,sensor_gps_raw/carrier_phase.03_rate,sensor_gps_raw/carrier_phase.04_rate,sensor_gps_raw/carrier_phase.05_rate,sensor_gps_raw/carrier_phase.06_rate,sensor_gps_raw/carrier_phase.07_rate,sensor_gps_raw/carrier_phase.08_rate,sensor_gps_raw/carrier_phase.09_rate,sensor_gps_raw/carrier_phase.10_rate,sensor_gps_raw/carrier_phase.11_rate,sensor_gps_raw/carrier_phase.12_rate,sensor_gps_raw/carrier_phase.13_rate,sensor_gps_raw/carrier_phase.14_rate,sensor_gps_raw/carrier_phase.15_rate,sensor_gps_raw/carrier_phase.16_rate,sensor_gps_raw/carrier_phase.17_rate,sensor_gps_raw/carrier_phase.18_rate,sensor_gps_raw/carrier_phase.19_rate,sensor_gps_raw/carrier_phase.20_rate,sensor_gps_raw/carrier_phase.21_rate,sensor_gps_raw/carrier_phase.22_rate,sensor_gps_raw/carrier_phase.23_rate,sensor_gps_raw/carrier_phase.24_rate,sensor_gps_raw/carrier_phase.25_rate,sensor_gps_raw/carrier_phase.26_rate,sensor_gps_raw/carrier_phase.27_rate,sensor_gps_raw/carrier_phase.28_rate,sensor_gps_raw/carrier_phase.29_rate,sensor_gps_raw/carrier_phase.30_rate,sensor_gps_raw/carrier_phase.31_rate
1032.157119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1033.157219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1034.162357,0.08924773335456848,0.018458489328622818,0.017697304487228394,0.10142653062939644,-0.02454788237810135,-0.029495522379875183,3916302.607289154,-4552153.088218905,4328983.024570085,-3685461.1691575088,1572186.3986260071,-506564.7862732522,,,,,,,,,,,,,,,,,,,,
1035.159071,0.17849546298384666,0.04490930587053299,0.04757341742515564,0.20152099803090096,-0.04281607270240784,-0.03805873543024063,719.090674571693,-680.5010206587613,185.82310353964567,56.10028738155961,-157.5159682445228,-321.15882187336683,0.0,,,,,,,,,,,,,,,,,,,
1036.160219,0.20342393219470978,-0.0218837708234787,0.005899101495742798,0.2277815267443657,-0.13510850816965103,-0.14310085028409958,719.4710716232657,-680.4854165837169,185.4158750884235,56.126167327165604,-154.36984295770526,-321.1302778236568,-1.4287248961627483,,,,,,,,,,,,,,,,,,,
1037.159069,0.26184409484267235,-0.027782876044511795,-0.006089404225349426,0.30504075810313225,-0.16936136782169342,-0.19029367715120316,710.907856348902,-680.4262352511287,186.56068181619048,56.19353128224611,-152.21971474587917,-321.03627274930477,2.5027423836290836,,,,,,,,,,,,,,,,,,,
1038.160214,0.2945746034383774,-0.0751659981906414,-0.03292080760002136,0.3432897850871086,-0.2544226422905922,-0.2978096008300781,712.0496183820069,-680.3984523713589,186.57609560340643,56.23691824451089,-151.55330630391836,-320.98717698454857,3.357731856405735,,,,,,,,,,,,,,,,,,,
1039.159069,0.2532808780670166,-0.18858103081583977,-0.13453762978315353,0.31740984693169594,-0.3977137729525566,-0.4544212892651558,709.5758006349206,-680.4403169825673,187.23127672448754,56.20095273479819,-152.32856272533536,-321.00411311909556,1.3141681030392647,,,,,,,,,,,,,,,,,,,
1040.158465,0.23805738240480423,-0.2829666920006275,-0.23044563829898834,0.31036898121237755,-0.5347252190113068,-0.5769704207777977,-3919872.2478961796,4555554.869445104,-4329912.887751643,3685185.3590305075,-1571416.2911692336,508167.8865853995,,,,,,,,,,,,,,,,,,,,
1041.158148,0.22911357879638672,-0.3621288575232029,-0.30199606344103813,0.31208162382245064,-0.6435732021927834,-0.671926960349083,0.21084538474678993,1.26564322412014,0.29324254766106606,3.2631559036672115,0.39676230773329735,1.2519420720636845,,,,,,,,,,,,,,,,,,,,
1042.155096,0.16764872521162033,-0.4972373656928539,-0.429683119058609,0.2669820263981819,-0.8138860315084457,-0.8312027677893639,0.15642140060663223,-0.41997813433408737,0.24414678290486336,5.70157902687788,0.37240471690893173,-0.8852461650967598,,,,,,,,,,,,,,,,,,,,
1043.155078,0.09819153696298599,-0.6431926153600216,-0.5432884357869625,0.20095011591911316,-1.0119817554950714,-1.003799133002758,0.06622219830751419,-0.5122705660760403,0.16898078098893166,5.861425708979368,3.6089195013046265,0.12045589461922646,,,,,,,,,,,,,,,,,,,,
